"","x","value","value.1","data1[, 3] * 10"
"1",1,0.38725,0.00079108,0.0079108
"2",2,-0.47574,0.0032959,0.032959
"3",3,-0.14657,0.011983,0.11983
"4",4,0.14164,0.012282,0.12282
"5",5,0.032248,0.0088056,0.088056
"6",6,-0.16461,0.015603,0.15603
"7",7,0.19559,0.0024835,0.024835
"8",8,-0.24942,0.0074453,0.074453
"9",9,0.30444,0.018954,0.18954
"10",10,0.28655,0.00086493,0.0086493
"11",11,0.57097,0.00608,0.0608
"12",12,-0.18969,0.013101,0.13101
"13",13,-0.8158,0.0077361,0.077361
"14",14,0.05696,0.026548,0.26548
"15",15,-0.18969,0.0092065,0.092065
"16",16,-0.55387,0.00043194,0.0043194
"17",17,0.49751,0.014058,0.14058
"18",18,0.13138,0.0012568,0.012568
"19",19,-0.26623,0.008665,0.08665
"20",20,0.5586,0.017612,0.17612
"21",21,0.40938,0.0066301,0.066301
"22",22,0.33533,0.0097294,0.097294
"23",23,0.53877,0.0021819,0.021819
"24",24,0.083256,0.018163,0.18163
"25",25,-0.061775,0.0096388,0.096388
"26",26,0.28468,0.00053029,0.0053029
"27",27,-0.13155,0.0022951,0.022951
"28",28,-0.13375,0.0042724,0.042724
"29",29,-0.45546,0.010553,0.10553
"30",30,-0.031674,0.014158,0.14158
"31",31,-0.82728,0.022976,0.22976
"32",32,-0.59665,0.01415,0.1415
"33",33,-0.48804,0.0099393,0.099393
"34",34,-0.6541,0.0075404,0.075404
"35",35,-0.39308,0.0088254,0.088254
"36",36,-0.61154,0.00071053,0.0071053
"37",37,-0.21011,0.010829,0.10829
"38",38,-0.30408,0.011863,0.11863
"39",39,-0.61487,0.018109,0.18109
"40",40,-0.44165,0.0076042,0.076042
"41",41,-0.072116,0.016823,0.16823
"42",42,-0.36529,0.0057496,0.057496
"43",43,-0.34493,0.0098379,0.098379
"44",44,-0.64017,0.016026,0.16026
"45",45,-0.95884,0.0071586,0.071586
"46",46,-0.9097,0.0039546,0.039546
"47",47,-1.1339,0.0048461,0.048461
"48",48,-0.78992,0.006811,0.06811
"49",49,-0.52907,0.028221,0.28221
"50",50,-0.50203,0.013743,0.13743
"51",51,0.3518,0.0095126,0.095126
"52",52,0.21799,0.0012231,0.012231
"53",53,0.30737,0.0018278,0.018278
"54",54,-0.26276,0.0054461,0.054461
"55",55,0.092322,0.0017148,0.017148
"56",56,-0.26816,0.018877,0.18877
"57",57,-0.11977,0.012369,0.12369
"58",58,0.23461,0.0051801,0.051801
"59",59,-0.26144,0.012046,0.12046
"60",60,0.26117,0.002287,0.02287
"61",61,-0.18803,0.0097763,0.097763
"62",62,-0.20102,0.00082121,0.0082121
"63",63,0.013594,0.012445,0.12445
"64",64,-0.053581,0.0072785,0.072785
"65",65,0.5634,0.011352,0.11352
"66",66,-0.11097,0.0027962,0.027962
"67",67,-0.52042,0.0082274,0.082274
"68",68,0.3696,0.0017928,0.017928
"69",69,-0.12259,0.012932,0.12932
"70",70,0.19621,0.0050591,0.050591
"71",71,0.1358,0.010156,0.10156
"72",72,-0.01096,0.0035477,0.035477
"73",73,0.041305,0.0073728,0.073728
"74",74,-0.5267,0.0081292,0.081292
"75",75,-1.0628,0.0026127,0.026127
"76",76,-1.1077,0.010777,0.10777
"77",77,-0.78116,0.0019098,0.019098
"78",78,-0.92145,0.0042497,0.042497
"79",79,-1.3332,0.0067999,0.067999
"80",80,-1.6266,0.007238,0.07238
"81",81,-1.7557,0.016892,0.16892
"82",82,-1.674,0.014694,0.14694
"83",83,-0.98134,0.014099,0.14099
"84",84,-0.99525,0.003191,0.03191
"85",85,-0.87362,0.01588,0.1588
"86",86,-1.2172,0.0046846,0.046846
"87",87,-1.1733,0.0063509,0.063509
"88",88,-0.96299,0.010693,0.10693
"89",89,-0.64086,0.014878,0.14878
"90",90,-1.0323,0.0049451,0.049451
"91",91,-1.0104,0.0070976,0.070976
"92",92,-1.0082,0.0069484,0.069484
"93",93,-0.83525,0.0072825,0.072825
"94",94,-1.3577,0.0080798,0.080798
"95",95,-1.0922,0.0096207,0.096207
"96",96,-1.4136,0.0040583,0.040583
"97",97,-2.0114,0.0085584,0.085584
"98",98,-1.6249,0.011726,0.11726
"99",99,-2.0258,0.0024592,0.024592
"100",100,-1.9349,0.0040653,0.040653
"101",1,-0.078416,0.0072604,0.072604
"102",2,0.064026,0.007798,0.07798
"103",3,-0.21426,0.008149,0.08149
"104",4,-0.79446,0.00078148,0.0078148
"105",5,-0.1799,0.017534,0.17534
"106",6,-0.4153,0.0056007,0.056007
"107",7,0.39728,0.0012957,0.012957
"108",8,0.082711,0.0032029,0.032029
"109",9,0.21882,0.017201,0.17201
"110",10,-0.34093,0.021353,0.21353
"111",11,-0.7014,0.001555,0.01555
"112",12,0.51917,0.0017476,0.017476
"113",13,-0.85035,0.0037242,0.037242
"114",14,0.05696,0.026548,0.26548
"115",15,0.31922,0.0092249,0.092249
"116",16,0.32584,0.016093,0.16093
"117",17,0.61899,0.014219,0.14219
"118",18,0.21536,0.015342,0.15342
"119",19,0.24874,0.0053633,0.053633
"120",20,0.49825,0.01907,0.1907
"121",21,0.1168,0.010773,0.10773
"122",22,0.37545,0.017865,0.17865
"123",23,0.38061,0.0040834,0.040834
"124",24,0.26947,0.0053592,0.053592
"125",25,-0.24935,0.010085,0.10085
"126",26,-0.094231,0.0035216,0.035216
"127",27,0.040892,0.011007,0.11007
"128",28,-0.37545,0.0080015,0.080015
"129",29,-0.89049,0.002032,0.02032
"130",30,-0.031674,0.014158,0.14158
"131",31,-0.82728,0.022976,0.22976
"132",32,-0.88297,0.0129,0.129
"133",33,-0.44381,0.0041134,0.041134
"134",34,-0.48951,0.0062868,0.062868
"135",35,-0.23921,0.010122,0.10122
"136",36,-0.086486,0.013782,0.13782
"137",37,-0.21011,0.010829,0.10829
"138",38,-0.45987,0.01009,0.1009
"139",39,-0.38961,0.0067295,0.067295
"140",40,-0.537,0.0010775,0.010775
"141",41,-0.044379,0.027145,0.27145
"142",42,-0.29144,0.020981,0.20981
"143",43,-0.82759,0.0092869,0.092869
"144",44,-0.60525,0.0047101,0.047101
"145",45,-0.86194,0.015407,0.15407
"146",46,-1.3625,0.0026626,0.026626
"147",47,-1.1035,0.0081899,0.081899
"148",48,-0.15322,0.0062386,0.062386
"149",49,-0.59024,0.004898,0.04898
"150",50,-1.1435,0.00074771,0.0074771
"151",51,-0.77756,0.0002869,0.002869
"152",52,-0.18573,0.0044751,0.044751
"153",53,0.083211,0.0089031,0.089031
"154",54,-0.14339,0.0082182,0.082182
"155",55,-0.2824,0.015821,0.15821
"156",56,-0.16425,0.014411,0.14411
"157",57,-0.69825,0.010523,0.10523
"158",58,0.05441,0.0072769,0.072769
"159",59,0.024864,0.0094609,0.094609
"160",60,-0.36237,0.0067362,0.067362
"161",61,-0.43049,0.0067973,0.067973
"162",62,0.16273,0.0033503,0.033503
"163",63,0.096864,0.0050716,0.050716
"164",64,0.48687,0.013505,0.13505
"165",65,0.4007,0.0097764,0.097764
"166",66,0.61551,0.00081998,0.0081998
"167",67,-0.0789,0.009511,0.09511
"168",68,-0.26344,0.0018562,0.018562
"169",69,0.10438,0.00063898,0.0063898
"170",70,0.17342,0.0066551,0.066551
"171",71,0.21185,0.010607,0.10607
"172",72,-0.035286,0.0041509,0.041509
"173",73,-0.65216,0.0091687,0.091687
"174",74,-0.48594,0.0080945,0.080945
"175",75,-1.0355,0.0032714,0.032714
"176",76,-1.5592,0.0073004,0.073004
"177",77,-0.89082,0.0093174,0.093174
"178",78,-1.5442,0.010524,0.10524
"179",79,-1.713,0.0067403,0.067403
"180",80,-0.89997,0.0032217,0.032217
"181",81,-1.5108,0.0076192,0.076192
"182",82,-1.4348,0.002207,0.02207
"183",83,-1.5004,0.010792,0.10792
"184",84,-0.79432,0.0083788,0.083788
"185",85,-1.2433,0.0080154,0.080154
"186",86,-1.2998,0.0081789,0.081789
"187",87,-1.0265,0.0064508,0.064508
"188",88,-1.4332,0.010333,0.10333
"189",89,-1.1226,0.0048034,0.048034
"190",90,-0.53572,0.015441,0.15441
"191",91,-1.0041,0.0018605,0.018605
"192",92,-0.81263,0.0079129,0.079129
"193",93,-1.0709,0.0014005,0.014005
"194",94,-1.4311,0.0023369,0.023369
"195",95,-1.2192,0.0097829,0.097829
"196",96,-1.5931,0.01209,0.1209
"197",97,-2.0978,0.011341,0.11341
"198",98,-2.2219,0.0076379,0.076379
"199",99,-1.7865,0.013412,0.13412
"200",100,-1.9349,0.0040653,0.040653
"201",1,-0.080327,0.009604,0.09604
"202",2,-0.20014,0.002157,0.02157
"203",3,-0.43771,0.0082318,0.082318
"204",4,-0.068952,0.012543,0.12543
"205",5,-0.17858,0.016494,0.16494
"206",6,-0.15115,0.0011887,0.011887
"207",7,-0.35295,0.0028816,0.028816
"208",8,0.0476,0.0099236,0.099236
"209",9,0.16719,0.0036852,0.036852
"210",10,0.28371,0.015793,0.15793
"211",11,-0.10922,0.006257,0.06257
"212",12,0.32244,0.0030769,0.030769
"213",13,-0.50115,0.0015043,0.015043
"214",14,0.030026,0.00047934,0.0047934
"215",15,-0.044457,0.0091364,0.091364
"216",16,-0.062576,0.0071561,0.071561
"217",17,0.49751,0.014058,0.14058
"218",18,-0.022871,0.016025,0.16025
"219",19,-0.020736,0.0056052,0.056052
"220",20,0.41388,0.00167,0.0167
"221",21,-0.22216,0.012156,0.12156
"222",22,-0.2789,0.010084,0.10084
"223",23,0.35237,0.011947,0.11947
"224",24,0.11527,0.01378,0.1378
"225",25,0.46981,0.0094278,0.094278
"226",26,0.21814,0.0013961,0.013961
"227",27,-0.34704,0.0043744,0.043744
"228",28,-0.69432,0.0057169,0.057169
"229",29,-0.70732,0.011677,0.11677
"230",30,-0.57021,0.0053019,0.053019
"231",31,-0.43046,0.0074492,0.074492
"232",32,-0.71799,0.0054573,0.054573
"233",33,-0.87237,0.0086944,0.086944
"234",34,-0.49497,0.0018462,0.018462
"235",35,-0.4623,0.0017611,0.017611
"236",36,-0.24365,0.009394,0.09394
"237",37,-0.086574,0.0078385,0.078385
"238",38,-0.16478,0.0092177,0.092177
"239",39,-0.69415,0.010946,0.10946
"240",40,-0.84809,0.00017807,0.0017807
"241",41,-0.46684,0.00063462,0.0063462
"242",42,-0.15,0.011846,0.11846
"243",43,-0.39244,0.011469,0.11469
"244",44,-0.86038,0.0082329,0.082329
"245",45,-0.46455,0.0010419,0.010419
"246",46,-0.66206,0.0019448,0.019448
"247",47,-0.60464,0.0071862,0.071862
"248",48,-1.047,0.0020257,0.020257
"249",49,-0.52494,0.0022019,0.022019
"250",50,-0.54285,0.0020521,0.020521
"251",51,-0.10605,0.012466,0.12466
"252",52,-0.15374,0.001177,0.01177
"253",53,-0.064603,0.0017948,0.017948
"254",54,0.18432,0.0050786,0.050786
"255",55,-0.29667,0.01584,0.1584
"256",56,-0.48095,0.0063852,0.063852
"257",57,-0.57583,0.0078185,0.078185
"258",58,0.17404,0.0021405,0.021405
"259",59,-0.17609,0.014832,0.14832
"260",60,0.095988,0.0026158,0.026158
"261",61,-0.28822,0.00083992,0.0083992
"262",62,0.13758,0.0031286,0.031286
"263",63,0.6322,0.019336,0.19336
"264",64,0.3814,0.017794,0.17794
"265",65,0.9336,0.0066018,0.066018
"266",66,-0.11097,0.0027962,0.027962
"267",67,-0.40454,0.011454,0.11454
"268",68,0.057036,0.0015198,0.015198
"269",69,0.18019,0.012627,0.12627
"270",70,-0.058367,0.0035961,0.035961
"271",71,-0.14361,0.0053448,0.053448
"272",72,-0.36623,0.0078679,0.078679
"273",73,-0.50486,0.010702,0.10702
"274",74,-0.49131,0.016094,0.16094
"275",75,-1.3764,0.0033879,0.033879
"276",76,-1.6222,0.0086811,0.086811
"277",77,-1.4429,0.0086873,0.086873
"278",78,-0.97248,0.00051855,0.0051855
