"","x","value","value.1","data1[, 3] * 10"
"1",1,-0.10209,0.00011131,0.0011131
"2",2,-0.11953,0.00097656,0.0097656
"3",3,0.11411,0.00020244,0.0020244
"4",4,-0.012633,0.00011779,0.0011779
"5",5,-0.038894,0.00097656,0.0097656
"6",6,-0.19524,0.00040654,0.0040654
"7",7,-0.20071,0.00043909,0.0043909
"8",8,0.049971,0.0012752,0.012752
"9",9,0.48191,0.00097656,0.0097656
"10",10,0.39261,3.6598e-05,0.00036598
"11",11,-0.013917,0.00097656,0.0097656
"12",12,0.11786,4.7193e-05,0.00047193
"13",13,-0.1917,3.2356e-06,3.2356e-05
"14",14,0.78047,0.00097656,0.0097656
"15",15,0.39118,0.00097656,0.0097656
"16",16,0.34781,0.00018588,0.0018588
"17",17,1.2388,0.00097656,0.0097656
"18",18,0.95119,1.2779e-06,1.2779e-05
"19",19,0.86518,5.9659e-09,5.9659e-08
"20",20,0.6839,0.00097656,0.0097656
"21",21,1.091,6.6044e-06,6.6044e-05
"22",22,1.1228,3.1559e-09,3.1559e-08
"23",23,0.2768,0.00097656,0.0097656
"24",24,0.34459,0.00065845,0.0065845
"25",25,0.83391,0.00097656,0.0097656
"26",26,0.33842,9.627e-06,9.627e-05
"27",27,0.046819,6.0778e-07,6.0778e-06
"28",28,-0.038434,1.9017e-07,1.9017e-06
"29",29,-0.50342,0.00097656,0.0097656
"30",30,-0.58993,0.0001719,0.001719
"31",31,-1.0199,0.00097656,0.0097656
"32",32,-0.78636,0.00066943,0.0066943
"33",33,-0.47478,0.00097656,0.0097656
"34",34,0.14671,0.0014525,0.014525
"35",35,-0.12194,2.4632e-05,0.00024632
"36",36,0.19887,4.7546e-06,4.7546e-05
"37",37,0.35667,1.5125e-07,1.5125e-06
"38",38,-0.45984,0.00097656,0.0097656
"39",39,-0.15829,0.0019488,0.019488
"40",40,-0.13961,0.00097656,0.0097656
"41",41,-0.34955,0.0003509,0.003509
"42",42,-0.32056,0.00097656,0.0097656
"43",43,-0.20919,0.0001214,0.001214
"44",44,0.28931,2.9002e-05,0.00029002
"45",45,0.16749,5.6243e-08,5.6243e-07
"46",46,-0.65893,0.00097656,0.0097656
"47",47,-0.51569,0.00013049,0.0013049
"48",48,-0.22524,3.4382e-05,0.00034382
"49",49,-1.0109,0.00097656,0.0097656
"50",50,0.050101,0.00097656,0.0097656
"51",51,-0.09326,5.9975e-05,0.00059975
"52",52,-0.20067,1.5087e-05,0.00015087
"53",53,0.51409,0.00097656,0.0097656
"54",54,0.22576,4.101e-05,0.0004101
"55",55,0.71348,0.00097656,0.0097656
"56",56,1.0378,0.00040275,0.0040275
"57",57,0.46964,0.00010702,0.0010702
"58",58,0.21094,9.4733e-06,9.4733e-05
"59",59,0.30925,0.00097656,0.0097656
"60",60,0.22745,2.2984e-05,0.00022984
"61",61,-0.090481,5.6971e-06,5.6971e-05
"62",62,0.2097,2.7252e-05,0.00027252
"63",63,0.7085,0.00011648,0.0011648
"64",64,0.21332,0.00097656,0.0097656
"65",65,0.39746,3.4316e-05,0.00034316
"66",66,0.042101,0.00097656,0.0097656
"67",67,0.10533,0.00059193,0.0059193
"68",68,-0.080455,0.00097656,0.0097656
"69",69,-0.018389,1.7137e-05,0.00017137
"70",70,0.37844,0.00097656,0.0097656
"71",71,0.23389,0.0028754,0.028754
"72",72,0.27041,0.00011819,0.0011819
"73",73,-0.4369,0.00097656,0.0097656
"74",74,-0.21239,0.00057068,0.0057068
"75",75,-1.4347,0.00097656,0.0097656
"76",76,-1.0502,0.00087433,0.0087433
"77",77,-1.1799,0.0020481,0.020481
"78",78,-1.2083,0.00099982,0.0099982
"79",79,-1.0034,0.00018385,0.0018385
"80",80,-0.72144,0.00025317,0.0025317
"81",81,-1.7775,0.00097656,0.0097656
"82",82,-1.8544,0.00066204,0.0066204
"83",83,-1.8245,7.3995e-05,0.00073995
"84",84,-0.77922,0.00097656,0.0097656
"85",85,-1.1971,0.00097656,0.0097656
"86",86,-1.1702,0.00013954,0.0013954
"87",87,-1.1143,1.6239e-05,0.00016239
"88",88,-1.1001,7.9562e-06,7.9562e-05
"89",89,-0.92358,0.00097656,0.0097656
"90",90,-1.0949,0.0002964,0.002964
"91",91,-1.1582,0.00012115,0.0012115
"92",92,-0.95342,0.0001942,0.001942
"93",93,-1.6327,0.00097656,0.0097656
"94",94,-1.7727,0.00075796,0.0075796
"95",95,-1.828,0.00040466,0.0040466
"96",96,-1.7034,0.00044711,0.0044711
"97",97,-1.7859,0.00024699,0.0024699
"98",98,-1.9158,0.00029916,0.0029916
"99",99,-1.9728,0.00020892,0.0020892
"100",100,-2.1853,0.00028768,0.0028768
"101",1,-1.3308,4.9285e-05,0.00049285
"102",2,0.23087,0.00097656,0.0097656
"103",3,0.43724,5.4022e-05,0.00054022
"104",4,0.59888,3.3341e-07,3.3341e-06
"105",5,0.32044,0.00097656,0.0097656
"106",6,0.59533,1.4479e-05,0.00014479
"107",7,0.928,8.294e-07,8.294e-06
"108",8,1.0625,6.0525e-08,6.0525e-07
"109",9,1.1592,0.00097656,0.0097656
"110",10,1.0508,7.7167e-07,7.7167e-06
"111",11,-0.46876,0.00097656,0.0097656
"112",12,-0.33198,0.00054002,0.0054002
"113",13,-0.63944,0.0011158,0.011158
"114",14,0.78047,0.00097656,0.0097656
"115",15,0.86056,0.00097656,0.0097656
"116",16,1.174,2.4869e-06,2.4869e-05
"117",17,1.2388,0.00097656,0.0097656
"118",18,0.77949,1.587e-06,1.587e-05
"119",19,0.78155,1.3993e-09,1.3993e-08
"120",20,0.61476,0.00097656,0.0097656
"121",21,0.42245,8.8164e-06,8.8164e-05
"122",22,0.62563,1.9196e-07,1.9196e-06
"123",23,0.39491,0.00097656,0.0097656
"124",24,0.38114,0.00017036,0.0017036
"125",25,0.83391,0.00097656,0.0097656
"126",26,0.95285,2.5996e-08,2.5996e-07
"127",27,0.89809,5.3458e-11,5.3458e-10
"128",28,0.81317,7.6493e-16,7.6493e-15
"129",29,-0.67143,0.00097656,0.0097656
"130",30,-0.16803,0.0065184,0.065184
"131",31,-0.71456,0.00097656,0.0097656
"132",32,-1.0654,0.00087001,0.0087001
"133",33,-0.85173,0.00097656,0.0097656
"134",34,-0.40681,0.0023232,0.023232
"135",35,-0.60778,0.0002938,0.002938
"136",36,-0.16076,0.00095026,0.0095026
"137",37,-0.10675,6.0724e-05,0.00060724
"138",38,-0.47201,0.00097656,0.0097656
"139",39,-0.56875,0.00035501,0.0035501
"140",40,-0.4766,0.00097656,0.0097656
"141",41,-0.64766,5.3097e-05,0.00053097
"142",42,-0.56063,0.00097656,0.0097656
"143",43,-0.80838,0.00043038,0.0043038
"144",44,-0.81314,0.00029951,0.0029951
"145",45,-0.58163,0.00030894,0.0030894
"146",46,-0.81976,0.00097656,0.0097656
